id,page_key,section_key,eyebrow,title,subtitle,body,image_url,button_label,button_url,is_visible,sort_order,created_at,updated_at,secondary_button_label,secondary_button_url,content,admin_label,section_type
28c2a62d-8e6f-4e1f-986a-4076f4bc5ac3,contact,final_cta,VISIT CRAFTERIS,Prefer to see the studio first?,null,"Find studio information, access guidance and everything you need before visiting.",null,Plan your visit,/visit,true,40,2026-08-26 10:40:48.636447+00,2026-08-26 10:40:48.636447+00,null,null,{},Final CTA,cta
8c75af29-1466-4e7f-b5d1-21cb67f8119b,explore,hero,Explore Crafteris,Find your next creative obsession.,null,"Whether you want an easy creative afternoon, a guided workshop, structured learning or regular studio access, there's a way to make at Crafteris.",null,null,null,true,10,2026-08-26 09:38:18.414198+00,2026-08-26 09:40:33.55046+00,null,null,"{""items"":[]}",Hero,hero
ce36ecaa-84f4-40c6-999b-21de073dd789,explore,options,null,What would you like to do?,null,Start with what sounds right for you. No previous experience is needed for many of our activities.,null,null,null,true,20,2026-08-26 09:38:18.414198+00,2026-08-26 09:38:18.414198+00,null,null,"{""items"":[{""meta"":""Easy first visits • Families • Friends"",""text"":""Choose a piece, paint it your way, and leave the glazing and firing to us."",""title"":""Paint Your Own Pottery"",""image_url"":""/explore/pyop.png"",""button_url"":""/paint-your-own-pottery"",""button_label"":""See how PYOP works""},{""meta"":""Beginners • Couples • Creative days out"",""text"":""Join a guided creative session and make something unique in just one visit."",""title"":""Workshops"",""image_url"":""/explore/workshops.png"",""button_url"":""/workshops"",""button_label"":""Browse workshops""},{""meta"":""Learning • Progression • Longer projects"",""text"":""Learn a craft across several sessions and build your skills step by step."",""title"":""Programmes / Courses"",""image_url"":""/explore/programmes.png"",""button_url"":""/programmes"",""button_label"":""View programmes""},{""meta"":""Independent makers • Regular studio access"",""text"":""Make Crafteris part of your routine with regular access for independent creative work."",""title"":""Membership"",""image_url"":""/explore/membership.png"",""button_url"":""/membership"",""button_label"":""Compare memberships""},{""meta"":""Teams • Celebrations • Schools • Groups"",""text"":""Plan a creative experience for your team, celebration, school or private group."",""title"":""Private Experiences"",""image_url"":""/explore/private-groups.png"",""button_url"":""/team-building"",""button_label"":""Plan a group visit""}]}",Experience Options,cards
dd74a746-a09b-44d6-83ef-ded858712e17,explore,whats_on,Coming up,What's on next,null,Prefer to choose by date? Take a look at a few upcoming sessions.,null,View everything that's on,/whats-on,true,30,2026-08-26 09:38:18.414198+00,2026-08-26 09:38:18.414198+00,null,null,{},What's On,dynamic
1ba0e04f-e05f-426b-a423-ffa199effb34,explore,final_cta,Still deciding?,Come and discover Crafteris.,null,"Explore pottery, glass and creative experiences designed for complete beginners and experienced makers alike.",null,Browse workshops,/workshops,true,40,2026-08-26 09:38:18.414198+00,2026-08-26 09:38:18.414198+00,Visit the studio,/visit,{},Final CTA,cta
72edbb91-694d-4dae-bb0d-096187eb335b,faqs,hero,FAQs,Questions before you make?,null,"Find answers about workshops, pottery painting, memberships, group visits and visiting the Crafteris studio.",null,null,null,true,10,2026-08-26 10:38:51.474942+00,2026-08-26 10:38:51.474942+00,null,null,{},Hero,standard
b1cee36a-e9c2-45df-aa1b-a95c4ba9b7e5,faqs,general,null,General,null,null,null,null,null,true,20,2026-08-26 10:38:51.474942+00,2026-08-26 10:38:51.474942+00,null,null,"{""items"":[{""text"":""No. Many Crafteris workshops and creative sessions are designed for complete beginners. Some courses and membership activities may assume a little more confidence, but the individual page will explain that clearly."",""title"":""Do I need any experience before visiting Crafteris?""},{""text"":""Crafteris focuses on pottery and glass. Depending on the session, you can paint pottery, work with clay, explore fused glass, learn stained glass techniques, join a structured course or work more independently through membership."",""title"":""What can I make at Crafteris?""},{""text"":""Some parts of the studio may be accessible without a workshop booking, but availability can depend on the day and what is happening in the space. For a guaranteed creative session, booking in advance is recommended."",""title"":""Can I just visit the studio without booking?""}]}",General FAQs,faq
3f1effac-d1e9-4e4c-a81e-c9486d4024ea,faqs,workshops_courses,null,Workshops & Courses,null,null,null,null,null,true,30,2026-08-26 10:38:51.474942+00,2026-08-26 10:38:51.474942+00,null,null,"{""items"":[{""text"":""A workshop is usually a one-off creative experience. A course or programme takes place across several sessions and gives you more time to learn techniques, practise and develop your skills."",""title"":""What is the difference between a workshop and a course?""},{""text"":""Wear comfortable clothes that you do not mind getting a little messy. Clay, paint and studio materials can occasionally mark clothing."",""title"":""What should I wear to a workshop?""},{""text"":""This depends on the activity. Guided workshops normally include the tools and equipment needed during the session. Some materials or specialist items may be charged separately where stated."",""title"":""Are tools and materials included?""},{""text"":""Some activities are suitable for children and families, while others may have age recommendations because of the tools or techniques involved. Check the individual workshop information before booking."",""title"":""Can children attend workshops?""}]}",Workshops & Courses FAQs,faq
ae82814b-5221-4876-b107-ddfca550bc9d,faqs,pyop,null,Paint Your Own Pottery,null,null,null,null,null,true,40,2026-08-26 10:38:51.474942+00,2026-08-26 10:38:51.474942+00,null,null,"{""items"":[{""text"":""You choose a pottery piece from the studio shelves, decorate it using the available colours and tools, then leave it with us. Crafteris takes care of the glazing and firing afterwards."",""title"":""How does Paint Your Own Pottery work?""},{""text"":""Usually not. Painted pottery needs to be glazed and fired after your visit, so you will collect the finished piece once that process is complete."",""title"":""Can I take my pottery home on the same day?""},{""text"":""Standard glazing and firing are included in the Paint Your Own Pottery experience unless a specific piece or option says otherwise."",""title"":""Is glazing and firing included?""}]}",Paint Your Own Pottery FAQs,faq
ccc75d4d-6dde-46f7-95c8-ef3ee81ea17a,faqs,membership,null,Membership,null,null,null,null,null,true,50,2026-08-26 10:38:51.474942+00,2026-08-26 10:38:51.474942+00,null,null,"{""items"":[{""text"":""Membership is for people who want to return regularly and work more independently in the studio. It is especially useful once you already have enough confidence to continue personal projects."",""title"":""Who is membership for?""},{""text"":""No. Materials are charged separately depending on what you use. Relevant standard firings are included with the membership options currently shown on the website."",""title"":""Are materials included in membership?""},{""text"":""Yes. Studio access is still managed through bookings so that the space and equipment can be used safely and fairly."",""title"":""Do I need to book studio time as a member?""},{""text"":""Membership bookings should be cancelled at least 24 hours in advance where required. The exact membership terms will be shown before joining."",""title"":""Can I cancel a membership session?""}]}",Membership FAQs,faq
424ba572-8d72-4094-9845-8281d46d5b00,faqs,groups,null,Groups & Team Building,null,null,null,null,null,true,60,2026-08-26 10:38:51.474942+00,2026-08-26 10:38:51.474942+00,null,null,"{""items"":[{""text"":""Yes. Crafteris can organise creative experiences for corporate teams, private groups, celebrations, schools and other groups."",""title"":""Can we organise a private group session?""},{""text"":""Group capacity depends on the chosen activity and studio setup. Contact Crafteris with your expected group size and preferred date so the team can suggest the best option."",""title"":""How many people can attend?""},{""text"":""Depending on availability and the activity, the timing, format and experience can sometimes be adjusted around the group."",""title"":""Can the session be adapted for our group?""}]}",Groups & Team Building FAQs,faq
1b320f22-f1d6-4ecf-ba37-edee4d5be0cf,faqs,bookings_visits,null,Bookings & Visits,null,null,null,null,null,true,70,2026-08-26 10:38:51.474942+00,2026-08-26 10:38:51.474942+00,null,null,"{""items"":[{""text"":""Use the What's On page to find an upcoming session and open the relevant experience. The booking system will later handle availability and reservations directly."",""title"":""How do I book a session?""},{""text"":""Try to arrive a little before your booked start time. If you expect to be late, contact the studio as soon as possible because some sessions have fixed schedules."",""title"":""What happens if I am late?""},{""text"":""Crafteris is based in Malta. The final confirmed studio address and travel information will be shown on the Visit page before public launch."",""title"":""Where is Crafteris located?""},{""text"":""Contact Crafteris before your visit and explain what support you need. The team can then advise what is possible for the studio and your chosen activity."",""title"":""What if I have accessibility requirements?""}]}",Bookings & Visits FAQs,faq
30203d8f-52e7-4817-8b30-7175078914fd,faqs,help,Still need help?,Ask us directly.,null,"If your question is not covered here, send Crafteris a message and tell us what you need.",null,Contact Crafteris,/contact,true,80,2026-08-26 10:38:51.474942+00,2026-08-26 10:38:51.474942+00,Visit information,/visit,{},Still Need Help,cta
48e2bf92-e204-4f1d-ad73-4101dde297ae,gallery,hero,Gallery,A little look inside Crafteris.,null,"Pottery, glass, workshops, studio life and the things people make along the way.",null,null,null,true,10,2026-08-26 10:36:53.862687+00,2026-08-26 10:36:53.862687+00,null,null,{},Hero,standard
4c46a6a9-bfba-4e11-a792-3840ae9dd0c8,gallery,gallery,null,null,null,null,null,null,null,true,20,2026-08-26 10:36:53.862687+00,2026-08-26 10:36:53.862687+00,null,null,"{""items"":[{""text"":""Pottery"",""title"":""Pottery Studio"",""image_url"":""/materials/pottery.png""},{""text"":""Glass"",""title"":""Glass Making"",""image_url"":""/materials/glass.png""},{""text"":""Workshops"",""title"":""Creative Workshop"",""image_url"":""/workshops/workshops-hero.png""},{""text"":""Pottery"",""title"":""Pottery Taster"",""image_url"":""/workshops/pottery-taster.png""},{""text"":""Glass"",""title"":""Fused Glass"",""image_url"":""/workshops/fused-glass.png""},{""text"":""Studio"",""title"":""Inside Crafteris"",""image_url"":""/visit/studio-inside.png""},{""text"":""PYOP"",""title"":""Paint Your Own Pottery"",""image_url"":""/pick-a-piece/paint-pottery.png""},{""text"":""Membership"",""title"":""Studio Membership"",""image_url"":""/membership-page/pottery-membership.png""},{""text"":""Groups"",""title"":""Team Building"",""image_url"":""/team-building/team-building.jpg""}]}",Gallery Images,gallery
540c5c55-dd91-453e-9f6a-0759b31207f8,gallery,social,See more,Follow what's being made.,null,"New pieces, studio moments and upcoming workshops are always appearing at Crafteris.",null,See what's on,/whats-on,true,30,2026-08-26 10:36:53.862687+00,2026-08-26 10:36:53.862687+00,Explore Crafteris,/explore,{},See More,cta
3173d0b0-4a25-4d97-96d4-9b17c4fa43ce,gallery,final_cta,Your turn,Come make something of your own.,null,Browse pottery and glass experiences and find something you'd like to try.,null,Explore Crafteris,/explore,true,40,2026-08-26 10:36:53.862687+00,2026-08-26 10:36:53.862687+00,null,null,{},Final CTA,cta
0892c323-8cdd-4259-8d6c-98eb00ac5165,gift-vouchers,hero,GIFT VOUCHERS,Give someone something they can make.,null,A Crafteris gift voucher gives someone the freedom to choose a creative experience that feels right for them.,https://jvfdolruhnatwyiijoyx.supabase.co/storage/v1/object/public/studio-media/website-content/b9cfc1b6-10e5-4b98-b984-fd9696b7b5ed.png,Choose a voucher,#vouchers,true,10,2026-08-26 10:31:24.12236+00,2026-08-26 10:32:20.04661+00,null,null,"{""items"":[]}",Hero,hero
e7ca9bf6-8b9c-461b-b7c6-b371ee552337,gift-vouchers,intro,A CREATIVE GIFT,More memorable than another thing.,null,"Give someone time to slow down, try something new and create something they can take pride in.\n\nGift vouchers can be used towards eligible Crafteris experiences and studio activities.",null,null,null,true,20,2026-08-26 10:31:24.12236+00,2026-08-26 10:31:24.12236+00,null,null,{},Gift Voucher Introduction,standard
a5b40d3e-38bb-49f0-9a3d-b540353fd5f6,gift-vouchers,vouchers,CHOOSE YOUR GIFT,Gift voucher options.,null,Choose a fixed amount or let them decide with a flexible voucher.,null,Choose voucher,/contact,true,30,2026-08-26 10:31:24.12236+00,2026-08-26 10:31:24.12236+00,null,null,{},Voucher Options,dynamic
57c10799-30ab-40b4-9ca2-a1bc104cea09,gift-vouchers,how_it_works,HOW IT WORKS,A simple gift with plenty of possibilities.,null,null,null,null,null,true,40,2026-08-26 10:31:24.12236+00,2026-08-26 10:31:24.12236+00,null,null,"{""items"":[{""text"":""Select one of the available voucher amounts or choose a flexible option."",""title"":""Choose a value""},{""text"":""Give them a creative gift they can use when the right experience comes along."",""title"":""Give it to someone""},{""text"":""The recipient can explore eligible experiences and decide what they would most enjoy."",""title"":""They choose what to make""}]}",How It Works,cards
3597cff5-148f-401d-9f28-f0474fe3bcf2,gift-vouchers,final_cta,NEED HELP?,Not sure which voucher to choose?,null,Get in touch and we'll help you find the right gift.,null,Contact the studio,/contact,true,50,2026-08-26 10:31:24.12236+00,2026-08-26 10:31:24.12236+00,null,null,{},Final CTA,cta
9708b7af-d615-410c-a997-dddfc128f7e9,home,hero,null,Make something worth keeping.,"Pottery, glass and creative experiences in Malta.",null,https://jvfdolruhnatwyiijoyx.supabase.co/storage/v1/object/public/studio-media/website-content/e40fc684-ad40-4226-b7f9-70538d07d0f7.png,Explore experiences,/explore,true,5,2026-08-26 09:18:32.077016+00,2026-08-27 08:26:25.649751+00,Visit the studio,/visit,"{""items"":[]}",Hero,hero
c968a8ec-4a55-42e7-8b3c-afffbcad21eb,home,ways_to_make,null,Choose your way to make.,null,null,null,null,null,true,10,2026-08-26 09:18:32.077016+00,2026-08-27 08:32:35.978763+00,null,null,"{""items"":[{""meta"":"""",""text"":"""",""title"":""Workshops"",""duration"":"""",""image_url"":""/cards/workshops.png"",""button_url"":""/workshops"",""group_size"":"""",""button_label"":""Workshops""},{""meta"":"""",""text"":"""",""title"":""Programmes / Courses"",""duration"":"""",""image_url"":""/cards/programmes-courses.png"",""button_url"":""/programmes"",""group_size"":"""",""button_label"":""Programmes / Courses""},{""meta"":"""",""text"":"""",""title"":""Membership"",""duration"":"""",""image_url"":""/cards/membership.png"",""button_url"":""/membership"",""group_size"":"""",""button_label"":""Membership""},{""meta"":"""",""text"":"""",""title"":""Paint Your Own Pottery"",""duration"":"""",""image_url"":""https://jvfdolruhnatwyiijoyx.supabase.co/storage/v1/object/public/studio-media/website-content/items/e04c4655-9422-4c23-91e6-034bf1fb3c25.png"",""button_url"":""/paint-your-own-pottery"",""group_size"":"""",""button_label"":""Paint Your Own Pottery""},{""meta"":"""",""text"":"""",""title"":""Team Building"",""duration"":"""",""image_url"":""https://jvfdolruhnatwyiijoyx.supabase.co/storage/v1/object/public/studio-media/website-content/items/70ffc3bc-50e8-48d7-bd89-3d8d437ce266.jpg"",""button_url"":""/team-building"",""group_size"":"""",""button_label"":""""}]}",Choose your way to make,cards
ffadb2e1-2069-4f9d-868f-00cda0cb2abe,home,team_building,Corporate • Private Groups • Schools,"Bring your team together, creatively.",null,"Create, connect and enjoy something different together. Our group sessions are relaxed, hands-on and designed to bring people closer through shared creativity.",/team-building/team-building.jpg,Plan a group visit,/team-building,true,20,2026-08-26 09:18:32.077016+00,2026-08-27 08:26:27.052045+00,null,null,"{""items"":[]}",Team Building,banner
9fe9873b-0fcf-4ab6-86a8-729be5337a2f,home,whats_on,null,What's on next,null,Planning to visit Crafteris? Check out our upcoming experiences and studio dates.,null,See everything,/whats-on,true,40,2026-08-26 09:18:32.077016+00,2026-08-27 08:24:52.7401+00,null,null,{},What's On Next,dynamic
d6824bf0-2e14-4275-8edd-a3564082feba,home,pyop,PAINT YOUR OWN POTTERY,Pick a piece. Make it yours.,null,"Choose a piece from the studio collection, decorate it your way, then we glaze and fire it for you.",null,Discover PYOP,/pyop,true,50,2026-08-26 09:18:32.077016+00,2026-08-27 08:24:47.377665+00,null,null,"{""items"":[{""text"":""Browse our collection of handmade pottery and pick the piece that speaks to you."",""title"":""Choose"",""image_url"":""/pick-a-piece/choose-pottery.png""},{""text"":""Make it yours with colours, designs, and personal touches—your creativity, no limits."",""title"":""Paint"",""image_url"":""/pick-a-piece/paint-pottery.png""},{""text"":""We glaze, fire, and finish your piece with care—ready for you to enjoy for years to come."",""title"":""We glaze & fire"",""image_url"":""/pick-a-piece/glaze-and-fire.png""}]}",Paint Your Own Pottery,feature
201c5311-7810-4822-96a5-2771ff8994a7,home,materials,ONE CREATIVE STUDIO,One studio. Pottery and glass.,null,"Explore two materials, different techniques and plenty of ways to make something personal.",null,Explore the studio,/explore,true,60,2026-08-26 09:18:32.077016+00,2026-08-27 08:24:44.049096+00,null,null,"{""items"":[{""text"":""Explore pottery through painting, workshops, courses and regular studio access."",""title"":""Pottery"",""image_url"":""/materials/pottery.png"",""button_url"":""/workshops"",""button_label"":""Explore pottery""},{""text"":""Create with fused and stained glass through guided workshops, programmes and independent making."",""title"":""Glass"",""image_url"":""/materials/glass.png"",""button_url"":""/workshops"",""button_label"":""Explore glass""}]}",Pottery & Glass,feature
89d83908-9f71-469c-a980-ab3c353d590d,home,membership,MEMBERSHIP,"Your creative studio, whenever inspiration strikes.",null,Membership gives regular makers more time and freedom to keep creating at the studio.,null,Explore membership,/membership,true,70,2026-08-26 09:18:32.077016+00,2026-08-27 08:24:34.451979+00,null,null,"{""items"":[{""text"":""Book studio time, use pottery equipment and build your skills at your own pace."",""title"":""Pottery Membership"",""image_url"":""/membership-page/pottery-membership.png"",""button_url"":""/membership"",""button_label"":""View pottery plans""},{""text"":""Get regular access to glass-working areas, equipment and studio facilities for independent making."",""title"":""Glass Membership"",""image_url"":""/membership-page/glass-membership.png"",""button_url"":""/membership"",""button_label"":""View glass plans""}]}",Membership,feature
6aba9062-2260-4b25-894e-a520e2862661,home,shop,STUDIO SHOP,Made at the studio.,null,"Discover selected handmade pottery, glass and creative pieces.",null,Visit the shop,/shop,true,80,2026-08-26 09:18:32.077016+00,2026-08-27 08:21:26.696348+00,null,null,{},Studio Shop,dynamic
20a948e4-c2e3-4211-9a0c-d725906e347d,home,gallery,MADE HERE,Real work. Real studio atmosphere.,null,"See what people have been making across pottery, glass, workshops and studio sessions.",null,View gallery,/gallery,true,90,2026-08-26 09:18:32.077016+00,2026-08-26 09:18:32.077016+00,null,null,"{""items"":[]}",Gallery,gallery
ffad3744-4e48-4a0f-8194-dfaffa971235,home,gift_vouchers,GIFT VOUCHERS,Give them something they can make their own.,null,A creative gift for someone who would rather make memories than receive another thing.,null,Explore gift vouchers,/gift-vouchers,true,100,2026-08-26 09:18:32.077016+00,2026-08-26 09:18:32.077016+00,null,null,{},Gift Vouchers,feature
760174f5-ce30-4a64-bd7a-9f3636ddc72f,home,visit,VISIT CRAFTERIS,Come and make with us.,null,"Find studio information, access guidance and everything you need before your visit.",null,Plan your visit,/visit,true,110,2026-08-26 09:18:32.077016+00,2026-08-26 09:18:32.077016+00,Contact us,/contact,{},Visit the Studio,feature
65c0ebb0-21f6-4fcb-84c8-de8a36bce0d2,membership,hero,STUDIO MEMBERSHIP,Make the studio part of your routine.,null,"Membership gives you more time to make, practise and develop your work in a creative studio environment.",/membership-page/pottery-membership.png,Explore memberships,#plans,true,10,2026-08-26 09:58:54.724695+00,2026-08-26 09:58:54.724695+00,null,null,{},Hero,hero
5e2bbabb-9f22-4b1c-b819-d1a8816547c1,membership,intro,MORE TIME TO CREATE,Flexible options for different ways of making.,null,"Whether you want occasional studio access, regular weekly making time or a prepaid hours pack, choose the option that best fits how you like to work.",null,null,null,true,20,2026-08-26 09:58:54.724695+00,2026-08-26 09:58:54.724695+00,null,null,{},Membership Introduction,standard
f649f000-4e62-4a1a-8a0d-76d72c76b55d,membership,plans,MEMBERSHIP OPTIONS,Choose your studio access.,null,Compare the available plans and choose the one that suits your creative routine.,null,Ask about this plan,/contact,true,30,2026-08-26 09:58:54.724695+00,2026-08-26 09:58:54.724695+00,null,null,{},Membership Plans,dynamic
08b1ba43-d44c-484d-9035-c8d4dca7ceee,membership,how_it_works,HOW IT WORKS,Simple studio access.,null,null,null,null,null,true,40,2026-08-26 09:58:54.724695+00,2026-08-26 09:58:54.724695+00,null,null,"{""items"":[{""text"":""Pick the membership or hours option that matches how often you want to make."",""title"":""Choose a plan""},{""text"":""Use the separate booking system to reserve your studio sessions."",""title"":""Book your studio time""},{""text"":""Return regularly, develop your skills and continue your projects over time."",""title"":""Keep creating""}]}",How It Works,cards
e32d2f1b-0878-43b2-bb3f-cb9424f99501,membership,final_cta,STILL NOT SURE?,We'll help you choose.,null,Tell us how you want to use the studio and we can help you find the right option.,null,Contact the studio,/contact,true,50,2026-08-26 09:58:54.724695+00,2026-08-26 09:58:54.724695+00,null,null,{},Final CTA,cta
b7cd3940-f08b-478a-b67d-b583c0b1cacf,paint-your-own-pottery,hero,Paint Your Own Pottery,Pick a piece. Make it yours.,null,"Choose from our pottery shelves, decorate your piece however you like, and leave the glazing and firing to us.",/pick-a-piece/paint-pottery.png,Find a PYOP session,/whats-on,true,10,2026-08-26 10:19:46.402081+00,2026-08-26 10:19:46.402081+00,How it works,#how-it-works,{},Hero,hero
2a381276-9ba0-4545-98e1-0fb0a4101452,paint-your-own-pottery,intro,"Easy, creative and completely yours",A simple way to spend a few creative hours.,null,"Paint Your Own Pottery is one of the easiest ways to experience Crafteris. There's no wheel throwing, no clay preparation and no previous experience needed.",null,null,null,true,20,2026-08-26 10:19:46.402081+00,2026-08-26 10:19:46.402081+00,null,null,"{""items"":[{""text"":""You don't need any pottery experience. Just choose a piece and start creating."",""title"":""Beginner friendly""},{""text"":""PYOP is perfect for an easy creative afternoon without committing to a full course."",""title"":""Relaxed and flexible""},{""text"":""At the end, you get a finished piece that's completely personal to you."",""title"":""Something you keep""}]}",PYOP Introduction,cards
4aa07d62-9984-400c-ae0f-98b048391848,paint-your-own-pottery,how_it_works,How it works,From shelf to finished piece.,null,"The process is simple. You focus on decorating, and we take care of the technical part afterwards.",null,null,null,true,30,2026-08-26 10:19:46.402081+00,2026-08-26 10:19:46.402081+00,null,null,"{""items"":[{""text"":""Browse the pottery shelves and pick the piece you want to make your own."",""title"":""Choose your piece""},{""text"":""Choose your colours, experiment with patterns and decorate your piece however you like."",""title"":""Paint it your way""},{""text"":""Leave your finished piece with us and we'll glaze and fire it in the studio."",""title"":""We glaze & fire""},{""text"":""Once it's ready, come back and collect your finished pottery piece."",""title"":""Collect your piece""}]}",How It Works,cards
be542f21-d063-4002-a5e7-f83e602005df,paint-your-own-pottery,choose,Start with the shelves,Choose the piece that feels right.,null,"Browse the available pottery in the studio and choose something you'll actually enjoy using, displaying or giving away.",/pick-a-piece/choose-pottery.png,null,null,true,40,2026-08-26 10:19:46.402081+00,2026-08-26 10:19:46.402081+00,null,null,"{""items"":[{""title"":""Mugs""},{""title"":""Bowls""},{""title"":""Plates""},{""title"":""Decorative pieces""},{""title"":""Small gifts""},{""title"":""Seasonal pieces""}]}",Choose Your Piece,feature
74f3124f-4e7d-4ab2-b313-0dc18e75ef07,paint-your-own-pottery,paint,Then make it yours,"Colour, patterns, words, whatever you want.",null,You'll have access to colours and decorating tools in the studio. Keep it simple or spend your time creating something detailed.\n\nThere's no right or wrong design. The whole point is that your piece ends up looking like yours.,/workshops/pottery-painting.png,null,null,true,50,2026-08-26 10:19:46.402081+00,2026-08-26 10:19:46.402081+00,null,null,{},Painting,feature
6f1acbe0-80be-45c8-8085-aa62aabbc700,paint-your-own-pottery,finish,We take it from here,"We glaze, fire and finish your piece.",null,"When you're done painting, leave your piece with the studio. We'll take care of the glazing and firing process so the final result is ready to use and enjoy.\n\nYou'll be told when your pottery is ready for collection.",/pick-a-piece/glaze-and-fire.png,null,null,true,60,2026-08-26 10:19:46.402081+00,2026-08-26 10:19:46.402081+00,null,null,{},Glazing & Firing,feature
